data,predict,target
ECCLESIAST,PLAIN,LETTERS
2,CARDINAL,DIGIT
NORML,LETTERS,PLAIN
-,PUNCT,PLAIN
ROH,LETTERS,PLAIN
2,DIGIT,CARDINAL
USSTRATCOM,PLAIN,LETTERS
b,PLAIN,LETTERS
325 millio,ORDINAL,DECIMAL
6.395,CARDINAL,DECIMAL
ConsumerSe,PLAIN,ELECTRONIC
z,PLAIN,LETTERS
CERES,LETTERS,PLAIN
2010,DATE,CARDINAL
2015,DATE,CARDINAL
ec,PLAIN,LETTERS
tr,PLAIN,VERBATIM
IZVJESCE,PLAIN,LETTERS
IIB,ORDINAL,LETTERS
RATs,LETTERS,PLAIN
OMD,PLAIN,LETTERS
20100-12-2,DATE,TELEPHONE
6',CARDINAL,MEASURE
AMASE,PLAIN,LETTERS
FRI,LETTERS,PLAIN
Swid,PLAIN,LETTERS
100,CARDINAL,DIGIT
RpoS,PLAIN,LETTERS
Paes,PLAIN,LETTERS
STAR,LETTERS,PLAIN
LIX,LETTERS,PLAIN
bei,PLAIN,LETTERS
4-1-0-0,MEASURE,TELEPHONE
PeanutAlle,PLAIN,ELECTRONIC
Btln,PLAIN,VERBATIM
's,ORDINAL,LETTERS
135,DIGIT,CARDINAL
12639/1264,TELEPHONE,FRACTION
APATS,PLAIN,LETTERS
csv,PLAIN,VERBATIM
ESTUDIO,PLAIN,LETTERS
WA,LETTERS,PLAIN
SELBY,LETTERS,PLAIN
ISO,LETTERS,PLAIN
PRIMJENI,PLAIN,LETTERS
Cd,PLAIN,VERBATIM
2800,DATE,CARDINAL
c,LETTERS,PLAIN
137,DIGIT,CARDINAL
SemEval-,PLAIN,LETTERS
OHL,LETTERS,PLAIN
uz,PLAIN,LETTERS
"14,662.9",TELEPHONE,DECIMAL
010537,TELEPHONE,DIGIT
July 23,PLAIN,DATE
s,LETTERS,PLAIN
GERMEIN,PLAIN,LETTERS
per km2,ELECTRONIC,MEASURE
COMUNICADO,PLAIN,LETTERS
ESSENTIALE,PLAIN,LETTERS
PUP,LETTERS,PLAIN
I,PLAIN,ORDINAL
str,PLAIN,LETTERS
s,LETTERS,PLAIN
Hrafn,PLAIN,LETTERS
-,PLAIN,PUNCT
TRANSFEREN,PLAIN,LETTERS
DR,LETTERS,PLAIN
LACoFD,PLAIN,LETTERS
Feb. 13,LETTERS,DATE
SHU,LETTERS,PLAIN
ny,PLAIN,LETTERS
trove.nla.,PLAIN,ELECTRONIC
52.94,MEASURE,DECIMAL
3548,CARDINAL,DIGIT
2779,DATE,CARDINAL
eds,PLAIN,LETTERS
ER,LETTERS,PLAIN
Métis,PLAIN,LETTERS
2015 hrs,DATE,MEASURE
_,LETTERS,VERBATIM
Aodh,PLAIN,LETTERS
NIDAQ,PLAIN,LETTERS
ALP,LETTERS,PLAIN
nei,PLAIN,LETTERS
Afu,PLAIN,LETTERS
CNET,LETTERS,PLAIN
AM,LETTERS,PLAIN
EMI,LETTERS,PLAIN
III,ORDINAL,CARDINAL
w/,LETTERS,PLAIN
MEA,LETTERS,PLAIN
Burnsbog.o,PLAIN,ELECTRONIC
CEASSUIC's,PLAIN,LETTERS
ACA,LETTERS,PLAIN
af,PLAIN,LETTERS
Baseball-R,PLAIN,ELECTRONIC
POWs,LETTERS,PLAIN
11-,CARDINAL,DIGIT
1977,DATE,CARDINAL
Idi,PLAIN,LETTERS
2013,DATE,DIGIT
IA,LETTERS,PLAIN
hr,PLAIN,LETTERS
EAS,PLAIN,LETTERS
ITIS,LETTERS,PLAIN
z,PLAIN,LETTERS
UUN,PLAIN,LETTERS
2012,DATE,DIGIT
III,CARDINAL,ORDINAL
UWE,LETTERS,PLAIN
USS,LETTERS,PLAIN
Hrag,PLAIN,LETTERS
sgt,PLAIN,LETTERS
OBE,LETTERS,PLAIN
WIU,PLAIN,LETTERS
dexterbent,PLAIN,ELECTRONIC
Cdr,PLAIN,VERBATIM
dei,PLAIN,LETTERS
10,CARDINAL,DIGIT
b,PLAIN,LETTERS
SE,LETTERS,PLAIN
-300,VERBATIM,CARDINAL
nul,PLAIN,LETTERS
2023,CARDINAL,DATE
Asmaa,PLAIN,LETTERS
2014,DATE,CARDINAL
III,ORDINAL,CARDINAL
Vb,PLAIN,VERBATIM
ESPN.com/U,LETTERS,ELECTRONIC
1519,DATE,DIGIT
JUNK,LETTERS,PLAIN
1923,DATE,CARDINAL
I.,LETTERS,ORDINAL
tes,LETTERS,PLAIN
Us,PLAIN,LETTERS
junctophil,PLAIN,LETTERS
AISA,PLAIN,LETTERS
pH,LETTERS,VERBATIM
LEAP's,PLAIN,LETTERS
bbc.co.uk,PLAIN,ELECTRONIC
III,CARDINAL,ORDINAL
tv,PLAIN,LETTERS
XV,LETTERS,ORDINAL
ec,PLAIN,LETTERS
gibt,PLAIN,LETTERS
Esaal,PLAIN,LETTERS
March 1,PLAIN,DATE
pésmi,PLAIN,LETTERS
